"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 04, 2019","0.002243","0.002293","0.002295","0.002185","542.08M","-2.18%"
"Jan 03, 2019","0.002293","0.002350","0.002356","0.002291","538.78M","-2.41%"
"Jan 02, 2019","0.002350","0.002347","0.002364","0.002328","301.97M","0.13%"
"Jan 01, 2019","0.002347","0.002327","0.002350","0.002310","303.80M","0.84%"
"Dec 31, 2018","0.002327","0.002333","0.002361","0.002309","600.30M","-0.23%"
"Dec 30, 2018","0.002333","0.002313","0.002355","0.002305","365.26M","0.86%"
"Dec 29, 2018","0.002313","0.002377","0.002383","0.002311","450.02M","-2.71%"
"Dec 28, 2018","0.002377","0.002299","0.002390","0.002245","603.38M","3.41%"
"Dec 27, 2018","0.002299","0.002393","0.002403","0.002299","646.90M","-3.92%"
"Dec 26, 2018","0.002393","0.002379","0.002434","0.002353","605.04M","0.56%"
"Dec 25, 2018","0.002379","0.002506","0.002506","0.002305","668.91M","-5.08%"
"Dec 24, 2018","0.002507","0.002491","0.002608","0.002486","1.17B","0.65%"
"Dec 23, 2018","0.002490","0.002446","0.002564","0.002430","934.40M","1.80%"
"Dec 22, 2018","0.002446","0.002465","0.002504","0.002339","1.06B","-0.79%"
"Dec 21, 2018","0.002466","0.002653","0.002693","0.002421","1.30B","-7.03%"
"Dec 20, 2018","0.002653","0.002627","0.002699","0.002506","1.10B","0.88%"
"Dec 19, 2018","0.002629","0.002518","0.002801","0.002508","1.67B","4.41%"
"Dec 18, 2018","0.002518","0.002531","0.002679","0.002451","1.66B","-0.48%"
"Dec 17, 2018","0.002531","0.002109","0.002874","0.002098","1.74B","20.02%"
"Dec 16, 2018","0.002109","0.002064","0.002147","0.002062","678.68M","2.15%"
"Dec 15, 2018","0.002064","0.002074","0.002084","0.002062","316.54M","-0.47%"
"Dec 14, 2018","0.002074","0.002056","0.002084","0.002044","533.57M","0.86%"
"Dec 13, 2018","0.002056","0.002082","0.002086","0.002053","467.50M","-1.20%"
"Dec 12, 2018","0.002081","0.002080","0.002098","0.002068","536.14M","-0.27%"
"Dec 11, 2018","0.002087","0.002063","0.002091","0.002049","383.70M","1.15%"
"Dec 10, 2018","0.002063","0.002092","0.002112","0.002054","390.78M","-1.36%"
"Dec 09, 2018","0.002092","0.002105","0.002129","0.002068","526.71M","-0.66%"
"Dec 08, 2018","0.002105","0.002123","0.002146","0.002053","569.72M","-0.85%"
"Dec 07, 2018","0.002123","0.002111","0.002162","0.002016","896.51M","0.59%"
"Dec 06, 2018","0.002111","0.002197","0.002222","0.002111","941.33M","-3.91%"
"Dec 05, 2018","0.002197","0.002202","0.002225","0.002180","715.33M","-0.25%"
"Dec 04, 2018","0.002202","0.002157","0.002217","0.002115","754.27M","2.10%"
"Dec 03, 2018","0.002157","0.002211","0.002215","0.002129","594.03M","-2.47%"
"Dec 02, 2018","0.002211","0.002230","0.002245","0.002195","631.95M","-0.83%"
"Dec 01, 2018","0.002230","0.002185","0.002243","0.002168","662.05M","2.08%"
"Nov 30, 2018","0.002185","0.002226","0.002243","0.002129","679.60M","-1.87%"
"Nov 29, 2018","0.002226","0.002235","0.002255","0.002158","816.32M","-0.40%"
"Nov 28, 2018","0.002235","0.002078","0.002283","0.002078","1.31B","7.55%"
"Nov 27, 2018","0.002078","0.002127","0.002135","0.002011","1.00B","-2.29%"
"Nov 26, 2018","0.002127","0.002261","0.002293","0.002062","1.08B","-5.93%"
"Nov 25, 2018","0.002261","0.002256","0.002288","0.002120","907.74M","0.24%"
"Nov 24, 2018","0.002256","0.002386","0.002438","0.002255","933.40M","-5.43%"
"Nov 23, 2018","0.002386","0.002381","0.002420","0.002305","936.92M","0.13%"
"Nov 22, 2018","0.002383","0.002476","0.002524","0.002348","1.39B","-3.78%"
"Nov 21, 2018","0.002476","0.002329","0.002575","0.002209","2.47B","6.30%"
"Nov 20, 2018","0.002329","0.002435","0.002475","0.002240","2.14B","-4.34%"
"Nov 19, 2018","0.002435","0.002638","0.002753","0.002434","1.82B","-7.68%"
"Nov 18, 2018","0.002638","0.002602","0.002692","0.002555","789.91M","1.36%"
"Nov 17, 2018","0.002602","0.002761","0.002768","0.002555","986.08M","-5.75%"
"Nov 16, 2018","0.002761","0.002851","0.002889","0.002702","1.79B","-3.18%"
"Nov 15, 2018","0.002851","0.002772","0.002872","0.002480","2.70B","2.94%"
"Nov 14, 2018","0.002770","0.002967","0.002983","0.002629","1.46B","-6.64%"
"Nov 13, 2018","0.002967","0.003084","0.003109","0.002963","663.89M","-3.78%"
"Nov 12, 2018","0.003084","0.003170","0.003202","0.003024","1.00B","-2.73%"
"Nov 11, 2018","0.003170","0.003291","0.003323","0.003145","870.20M","-3.71%"
"Nov 10, 2018","0.003292","0.003128","0.003375","0.003066","1.73B","5.24%"
"Nov 09, 2018","0.003128","0.003362","0.003363","0.003050","2.16B","-6.94%"
"Nov 08, 2018","0.003362","0.003632","0.003647","0.003231","1.37B","-7.46%"
"Nov 07, 2018","0.003632","0.003701","0.003740","0.003627","786.65M","-1.84%"
"Nov 06, 2018","0.003701","0.003650","0.003826","0.003613","1.49B","1.38%"
"Nov 05, 2018","0.003650","0.003727","0.003729","0.003599","978.49M","-2.06%"
"Nov 04, 2018","0.003727","0.003758","0.003769","0.003707","618.23M","-0.83%"
"Nov 03, 2018","0.003758","0.003792","0.003797","0.003757","445.93M","-0.89%"
"Nov 02, 2018","0.003792","0.003787","0.003832","0.003767","834.10M","0.21%"
"Nov 01, 2018","0.003784","0.003804","0.003818","0.003757","749.76M","-0.53%"
"Oct 31, 2018","0.003804","0.003897","0.003935","0.003609","1.31B","-2.39%"
"Oct 30, 2018","0.003897","0.003855","0.003955","0.003854","801.80M","1.07%"
"Oct 29, 2018","0.003856","0.004050","0.004085","0.003831","946.70M","-4.81%"
"Oct 28, 2018","0.004050","0.004218","0.004229","0.004039","737.29M","-3.98%"
"Oct 27, 2018","0.004218","0.004111","0.004401","0.004062","1.95B","2.61%"
"Oct 26, 2018","0.004111","0.003745","0.004113","0.003745","1.42B","9.77%"
"Oct 25, 2018","0.003745","0.003964","0.003971","0.003687","1.16B","-5.43%"
"Oct 24, 2018","0.003960","0.004199","0.004201","0.003904","1.76B","-5.69%"
"Oct 23, 2018","0.004199","0.004446","0.004460","0.004166","1.07B","-5.56%"
"Oct 22, 2018","0.004446","0.004567","0.004605","0.004420","596.81M","-2.64%"
"Oct 21, 2018","0.004567","0.004642","0.004678","0.004563","519.79M","-1.62%"
"Oct 20, 2018","0.004642","0.004597","0.004671","0.004528","649.45M","0.99%"
"Oct 19, 2018","0.004597","0.004481","0.004697","0.004336","1.36B","2.60%"
"Oct 18, 2018","0.004480","0.004729","0.005263","0.004323","2.16B","-5.25%"
"Oct 17, 2018","0.004729","0.005146","0.005153","0.004539","2.12B","-8.11%"
"Oct 16, 2018","0.005146","0.005376","0.005376","0.005104","608.38M","-4.27%"
"Oct 15, 2018","0.005376","0.005270","0.005697","0.005239","992.75M","2.00%"
"Oct 14, 2018","0.005270","0.005265","0.005301","0.005248","360.59M","0.10%"
"Oct 13, 2018","0.005265","0.005307","0.005334","0.005227","357.24M","-0.79%"
"Oct 12, 2018","0.005307","0.005026","0.005405","0.004999","626.73M","5.59%"
"Oct 11, 2018","0.005026","0.005627","0.005628","0.004816","1.29B","-10.68%"
"Oct 10, 2018","0.005627","0.005666","0.005673","0.005595","697.88M","-0.69%"
"Oct 09, 2018","0.005666","0.005643","0.005682","0.005629","543.96M","0.42%"
"Oct 08, 2018","0.005643","0.005629","0.005710","0.005596","619.31M","0.25%"
"Oct 07, 2018","0.005629","0.005587","0.005665","0.005586","464.63M","0.75%"
"Oct 06, 2018","0.005587","0.005672","0.005724","0.005379","1.04B","-1.49%"
"Oct 05, 2018","0.005672","0.005674","0.005756","0.005590","588.76M","-0.03%"
"Oct 04, 2018","0.005674","0.005736","0.005777","0.005507","884.68M","-1.09%"
"Oct 03, 2018","0.005736","0.005826","0.005856","0.005614","790.24M","-1.53%"
"Oct 02, 2018","0.005825","0.005949","0.006001","0.005796","825.53M","-2.08%"
"Oct 01, 2018","0.005949","0.005933","0.006070","0.005902","892.61M","0.27%"
"Sep 30, 2018","0.005933","0.005888","0.005942","0.005884","799.99M","0.78%"
"Sep 29, 2018","0.005887","0.005894","0.005918","0.005806","665.47M","-0.12%"
"Sep 28, 2018","0.005894","0.005889","0.005976","0.005850","767.85M","0.06%"
"Sep 27, 2018","0.005890","0.005776","0.005912","0.005762","650.19M","1.98%"
"Sep 26, 2018","0.005776","0.005747","0.005802","0.005747","461.57M","0.51%"
"Sep 25, 2018","0.005747","0.005718","0.005885","0.005606","831.38M","0.50%"
"Sep 24, 2018","0.005718","0.005969","0.006110","0.005689","931.58M","-4.20%"
"Sep 23, 2018","0.005969","0.005804","0.005996","0.005786","620.77M","2.80%"
